date,chlor_a
2012-01-02,0.8204246163368225
2012-02-01,0.8636460900306702
2012-03-01,0.5423307418823242
2012-04-01,0.9309208989143372
2012-05-01,0.8915868401527405
2012-06-01,0.7626657485961914
2012-07-01,NA
2012-08-01,0.40749114751815796
2012-09-01,0.9207599759101868
2012-10-01,0.8772827386856079
2012-11-01,0.6589568853378296
2012-12-01,0.6532837748527527
2013-01-01,1.2960312366485596
2013-02-01,0.9379040002822876
2013-03-01,1.9281549453735352
2013-04-01,1.0207228660583496
2013-05-01,3.3404948711395264
2013-06-01,2.1284339427948
2013-07-01,NA
2013-08-01,1.0875444412231445
2013-09-01,4.936723232269287
2013-10-01,2.0364990234375
2013-11-01,1.3456416130065918
2013-12-01,0.9421281218528748
2014-01-01,0.8180605173110962
2014-02-01,0.8242725133895874
2014-03-01,1.1247678995132446
2014-04-01,1.4706952571868896
2014-05-01,1.0063436031341553
2014-06-01,0.7939454913139343
2014-07-01,0.9353547096252441
2014-08-01,0.5443013310432434
2014-09-01,0.516380250453949
2014-10-01,0.5470635294914246
2014-11-01,0.5419840812683105
2014-12-01,0.6160864233970642
2015-01-01,0.5470332503318787
2015-02-01,0.5775792002677917
2015-03-01,0.9562865495681763
2015-04-01,1.341835856437683
2015-05-01,0.4866596758365631
2015-06-01,0.8503717184066772
2015-07-01,1.1425418853759766
2015-08-01,0.3617621958255768
2015-09-01,0.5168825387954712
2015-10-01,0.6003199815750122
2015-11-01,1.0143845081329346
2015-12-01,0.6252658367156982
2016-01-01,0.44059231877326965
2016-02-01,0.5767120122909546
2016-03-01,0.735995352268219
2016-04-01,0.6432221531867981
2016-05-01,0.5720921158790588
2016-06-01,1.3764883279800415
2016-07-01,1.0088387727737427
2016-08-01,1.207836627960205
2016-09-01,1.3409093618392944
2016-10-01,1.0213396549224854
2016-11-01,1.3331166505813599
2016-12-01,1.0277091264724731
2017-01-01,0.7616037130355835
2017-02-01,0.44100716710090637
2017-03-01,0.9030422568321228
2017-04-01,1.1796892881393433
2017-05-01,0.9976971745491028
2017-06-01,1.1037300825119019
2017-07-02,2.2885186672210693
2017-08-01,NA
2017-09-01,0.8939246535301208
2017-10-01,2.714632511138916
2017-11-01,1.2364132404327393
2017-12-01,0.8401670455932617
2018-01-01,0.7497636675834656
2018-02-01,0.9382546544075012
2018-03-01,0.6561487317085266
2018-04-01,1.209063172340393
2018-05-01,1.7771120071411133
2018-06-01,3.5522830486297607
2018-07-01,0.5090603828430176
2018-08-01,0.6667038798332214
2018-09-01,3.970771074295044
2018-10-01,1.9519835710525513
2018-11-01,2.4835381507873535
2018-12-01,0.8594679236412048
2019-01-01,0.7762811183929443
2019-02-01,0.6637787818908691
2019-03-01,1.2112361192703247
2019-04-01,2.5035338401794434
2019-05-01,0.8147077560424805
2019-06-01,2.621279001235962
2019-07-01,6.295144081115723
2019-08-01,3.343496561050415
